gid,sac,sa,type,geom
151,411849,TPTNKSXA,HCPM-GNIS,01010000000C337E2B239E58C0A6327B8FE9AB4340
152,411826,NATMKSXA,HCPM-GNIS,010100000009980A3BD6C158C0391158946D984340
153,411849,HNTRKSXA,HCPM-GNIS,01010000006F10AD156D9958C063C4F473F99D4340
154,411840,BRNRKSXA,HCPM-GNIS,0101000000A66DB2FCAF8258C0D3F47E4864984340
155,411826,WKNYKSXA,HCPM-GNIS,0101000000F2AB83CD4AF858C0E090FC7733834340
156,411778,PRDSKSXA,HCPM-GNIS,010100000070C2CE5EC7BA58C0BF8C182C8B8E4340
157,411778,WALDKSXA,HCPM-GNIS,01010000005572A9A514B358C08115F1E7258F4340
158,411778,LURYKSXA,HCPM-GNIS,01010000003B6986F917AC58C03FC4060B278E4340
159,411849,LUCSKSXA,HCPM-GNIS,0101000000C38F204B55A258C0718B9E002F874340
160,411849,SLGVKSXA,HCPM-GNIS,0101000000B8CA13083B9958C0EAA80FC935814340
161,411849,DNMKKSXA,HCPM-GNIS,0101000000CA198A3B5E9258C0F9D115116A8B4340
162,411785,NARKKSXA,HCPM-GNIS,01010000008B8FAA81415B58C0002BD1A3F3FA4340
163,411785,MHSKKSXA,HCPM-GNIS,010100000079E4B44CAB5658C025D3FC8C66FE4340
164,411746,SRFDKSXA,HCPM-GNIS,0101000000A5434C2E6B1658C06AA8AC01A5FF4340
165,411746,AXTLKSXA,HCPM-GNIS,0101000000F19E03CB911058C0A9030FC292EF4340
166,411761,FRMSKSXA,HCPM-GNIS,01010000002F39494E817F58C09EC7725CD7E34340
167,411826,CRLDKSXA,HCPM-GNIS,01010000008EC9E2FE237958C08CD651D504E44340
168,411785,MRVLKSXA,HCPM-GNIS,0101000000A231491BFD4A58C0EE1692DD16EC4340
169,411785,FRVWKSXA,HCPM-GNIS,01010000005F28603B98EE57C050262488A9EB4340
170,411746,LINNKSXA,HCPM-GNIS,0101000000A3456C66634558C0E3DB604D0AD74340
